Gene	length
CG31601	3151
CG31606	746
CG31609	613
CG31612	33134
CG31624	1331
CG31626	4239
CG31627	958
CG3163	1239
CG31633	1562
CG31635	16317
CG31636	1694
CG31637	28350
CG31638	5928
CG31639	1302
CG3164	8168
CG31642	2011
CG31643	3167
CG31644	554
CG31648	898
CG3165	1379
CG31650	4065
CG31659	866
CG31661	1341
CG31663	22872
CG31664	2329
CG31668	2446
CG31673	1553
CG31674	1598
CG31675	1896
CG31676	8433
CG31677	662
CG31678	16810
CG3168	19983
CG31680	598
CG31681	949
CG31683	2231
CG31687	6754
CG31688	21707
CG31689	14157
CG31690	41698
CG31693	2145
CG31694	5863
CG31697	657
CG31698	636
CG31702	1759
CG31703	1776
CG31704	514
CG31705	5185
CG31706	2015
CG31709	1519
CG31710	3513
CG31712	3368
CG31715	908
CG31717	978
CG31729	11672
CG31730	680
CG31735	1618
CG31740	742
CG31741	2459
CG31743	6803
CG31750	1717
CG31751	6495
CG31752	1683
CG31759	2402
CG3176	907
CG31760	27729
CG31769	1143
CG31773	2493
CG31775	680
CG31776	2183
CG31777	513
CG31778	1383
CG31780	1713
CG31784	2655
CG31785	1652
CG31787	876
CG31788	485
CG31789	757
CG31792	5266
CG31793	4868
CG31797	2809
CG31798	2031
CG31800	920
CG31802	823
CG31803	985
CG31804	856
CG31805	2299
CG31806	657
CG31807	2190
CG31808	11910
CG31809	5095
CG31810	3351
CG31812	1423
CG31813	893
CG31814	40461
CG31815	1500
CG31816	718
CG31817	7326
CG31819	1846
CG31820	491
CG31821	1476
CG31823	1646
CG31826	1851
CG31827	1050
CG31832	823
CG31835	1225
CG3184	1179
CG31848	881
CG31849	2199
CG31855	1126
CG31861	839
CG31862	630
CG31867	839
CG31869	29072
CG31870	1229
CG31871	9407
CG31872	3609
CG31875	7176
CG31882	834
CG31883	1134
CG31886	5571
CG31897	3369
CG31898	1172
CG31904	4395
CG31907	1638
CG31908	2561
CG31909	687
CG3191	1849
CG31910	960
CG31913	863
CG31915	2560
CG31917	904
CG31918	2267
CG31921	2426
CG31922	609
CG31924	819
CG31926	1612
CG31928	1565
CG31933	2076
CG31935	16336
CG31937	1184
CG31948	1362
CG31949	786
CG31952	1376
CG31954	1045
CG31955	1225
CG31957	1188
CG31960	676
CG31974	2015
CG31975	2609
CG3198	5435
CG31988	1310
CG3199	917
CG31997	1407
CG31998	9271
CG31999	12740
CG32006	2775
CG32017	24329
CG32022	993
CG32023	581
CG32024	807
CG32026	2382
CG32032	1804
CG32036	1184
CG32037	2714
CG32039	998
CG32040	1425
CG32052	21668
CG32053	2177
CG32054	1971
CG32055	1661
CG32061	820
CG32066	20728
CG32069	484
CG32071	453
CG32073	575
CG32074	440
CG32075	2216
CG32079	1772
CG32081	1866
CG32085	29828
CG32086	1664
CG32087	1470
CG3209	4796
CG32091	11511
CG32095	1526
CG32099	1057
CG32100	2276
CG32102	713
CG32103	12548
CG32104	5519
CG32106	4766
CG32107	4024
CG32109	1427
CG32110	1376
CG32112	3437
CG32115	1620
CG32117	787
CG32119	1839
CG32121	5761
CG3213	2379
CG32137	23398
CG32147	997
CG32148	518
CG32152	4536
CG3216	4339
CG32161	774
CG32163	987
CG32164	5094
CG32165	5279
CG32170	2064
CG32174	4686
CG32176	4104
CG32181	3208
CG32182	1442
CG32187	1450
CG32188	349
CG32189	430
CG32191	2696
CG32192	1422
CG32195	6192
CG32196	1561
CG32198	470
CG32199	2105
CG32201	2243
CG32202	677
CG32204	23620
CG32206	72592
CG32212	789
CG32213	585
CG32214	815
CG32219	1113
CG3222	1354
CG32221	1744
CG32225	1974
CG32228	2987
CG3223	1619
CG32232	2928
CG32235	661
CG32236	1463
CG32237	3024
CG3224	911
CG32240	766
CG32241	1526
CG32243	1943
CG32246	1767
CG32248	690
CG32249	1012
CG3225	2633
CG32259	913
CG3226	1136
CG32260	3603
CG32262	1051
CG32263	803
CG32264	91634
CG32266	757
CG32267	559
CG32269	2037
CG32270	2037
CG32271	925
CG32276	1185
CG32277	850
CG32278	2482
CG32280	3900
CG32281	1539
CG32284	582
CG32295	1175
CG32298	1407
CG32299	1407
CG32301	4137
CG32302	1079
CG32305	4095
CG32313	916
CG32318	851
CG32320	3027
CG32333	19744
CG32335	1166
CG32344	3488
CG32354	6349
CG32365	25773
CG32368	410
CG32369	32721
CG32371	1084
CG32373	108576
CG32374	900
CG32376	876
CG32379	1854
CG32388	1114
CG32391	989
CG32392	6618
CG32395	1179
CG32396	1701
CG32407	1513
CG32409	1409
CG32413	1166
CG32425	16785
CG32428	4050
CG32432	40857
CG32436	11017
CG32437	2185
CG32440	1051
CG32441	1744
CG32444	2114
CG32445	1352
CG32447	15754
CG32448	707
CG32450	880
CG32452	2216
CG32453	741
CG32454	1835
CG32457	621
CG32459	1477
CG3246	1631
CG32461	882
CG32462	1243
CG32473	10138
CG32483	1559
CG32485	1443
CG32486	14932
CG32487	1107
CG32488	1309
CG32500	2210
CG32506	17735
CG32507	1071
CG3251	1738
CG32512	5264
CG32521	75862
CG32523	958
CG3253	1962
CG32532	15632
CG32533	5256
CG32536	1895
CG32537	3191
CG32544	1681
CG32547	36461
CG32548	4863
CG32549	19647
CG32551	393
CG32554	817
CG32557	3172
CG32563	628
CG32564	1448
CG32568	2013
CG3257	6472
CG32572	5766
CG32573	1900
CG32576	2581
CG32579	2483
CG32581	2255
CG32588	830
CG3259	2031
CG32590	755
CG32591	1743
CG32599	2829
CG32603	1247
CG3262	7073
CG32625	663
CG32631	1395
CG32633	1689
CG32638	5919
CG32639	642
CG3264	2302
CG32640	519
CG32641	519
CG32642	1571
CG32643	548
CG32645	14264
CG32647	13115
CG32649	2347
CG32650	1167
CG32651	3862
CG32655	1316
CG32668	3085
CG32669	2385
CG32679	1071
CG32681	4702
CG32683	44505
CG32686	3600
CG32687	5178
CG32694	17193
CG32695	1676
CG32698	72227
CG3270	1758
CG32700	48013
CG32706	945
CG32708	933
CG32712	723
CG32713	796
CG32718	1166
CG32719	39342
CG32720	1335
CG32726	524
CG32727	647
CG32732	10719
CG32736	781
CG32750	1703
CG32751	2075
CG32755	1461
CG32756	2672
CG32758	18658
CG32762	1022
CG32767	13742
CG3277	13319
CG32772	6060
CG32783	3418
CG32786	3419
CG32793	2831
CG32795	7662
CG32797	931
CG32801	1096
CG32803	1213
CG32806	853
CG32808	1125
CG32809	19659
CG3281	1923
CG32811	404
CG32812	1656
CG32813	11930
CG32814	6906
CG32815	6959
CG32816	154151
CG32817	1101
CG32819	3216
CG32820	3443
CG32829	865
CG32832	965
CG32833	1062
CG32834	1752
CG32845	1972
CG32846	1445
CG32847	730
CG3285	1949
CG32850	16465
CG32855	2013
CG32856	674
CG32857	2169
CG3288	972
CG3292	1900
CG32939	1383
CG3294	2033
CG32944	12352
CG32945	706
CG3295	1853
CG32971	3182
CG32982	37985
CG32983	821
CG32984	2054
CG32985	2088
CG32986	968
CG32987	1037
CG32988	829
CG33003	2190
CG3301	2007
CG33012	3534
CG33017	5542
CG33051	845
CG33052	1532
CG33054	5472
CG33056	4972
CG33057	3110
CG3306	1026
CG33060	728
CG33061	1433
CG33062	4726
CG3308	2740
CG33080	9220
CG33082	2362
CG3309	2673
CG33090	11638
CG33093	1229
CG33095	4475
CG33096	4475
CG33098	1607
CG33099	1653
CG33107	1367
CG33108	1886
CG33109	1025
CG33110	10205
CG33111	17524
CG33116	3885
CG33120	3180
CG33124	2578
CG33125	4055
CG33127	991
CG33128	1387
CG33129	5371
CG33136	1344
CG33137	681
CG33140	2341
CG33143	19757
CG33144	58656
CG33155	1470
CG33156	4997
CG33158	76964
CG33159	774
CG33160	825
CG33169	633
CG33170	2936
CG33172	3322
CG33177	1003
CG33178	1191
CG33181	27682
CG33189	677
CG33191	1545
CG33199	3406
CG33203	17104
CG33213	1279
CG33217	6185
CG33223	18196
CG33225	1310
CG33226	1044
CG33228	920
CG33229	1754
CG3323	2704
CG33230	1984
CG33233	1863
CG33234	2001
CG33235	5028
CG33252	973
CG33253	3858
CG33257	1298
CG33258	1088
CG33259	436
CG33260	1325
CG33262	798
CG33263	849
CG33267	8314
CG33268	360
CG33269	783
CG33270	388
CG33271	490
CG33272	267
CG33278	1307
CG3328	11172
CG33281	2401
CG33282	1890
CG33284	1132
CG33285	767
CG33286	3889
CG33287	3898
CG33288	5277
CG33290	654
CG33293	722
CG33296	2648
CG33298	25223
CG33299	825
CG3330	1190
CG33301	1622
CG33303	2389
CG33306	855
CG33307	2259
CG33308	960
CG33309	1839
CG33310	2632
CG33322	1904
CG33325	1081
CG33331	1284
CG33332	2691
CG33333	576
CG33337	2629
CG33339	1296
CG33340	1152
CG33341	1062
CG33342	841
CG33346	1220
CG3335	3085
CG3337	2881
CG3339	28040
CG3342	1783
CG3345	2539
CG33453	728
CG33454	640
CG33458	1128
CG33459	1130
CG33460	1141
CG33461	1093
CG33462	1217
CG33463	599
CG33465	2001
CG33467	739
CG33468	674
CG33469	651
CG3347	2370
CG33470	1347
CG33474	1284
CG33475	444
CG33476	586
CG33477	597
CG3348	675
CG33483	1444
CG33489	2281
CG3349	2813
CG33490	1867
CG33493	638
CG33494	1681
CG33500	267
CG33502	2170
CG33506	1194
CG33509	1902
CG33510	1684
CG33511	1368
CG33514	1238
CG33521	7218
CG33523	6259
CG33543	9212
CG3355	1490
CG33552	788
CG33557	840
CG3356	4364
CG3358	1564
CG33626	618
CG33627	668
CG33630	704
CG33631	639
CG33632	709
CG33635	829
CG33639	15265
CG33640	697
CG33641	780
CG33642	762
CG33643	589
CG33644	552
CG33645	583
CG33647	698
CG33648	1345
CG33654	708
CG33655	2225
CG33658	655
CG33664	680
CG33665	712
CG33666	725
CG33667	706
CG33668	675
CG33669	646
CG33671	1976
CG33672	1976
CG33673	914
CG33679	818
CG3368	3669
CG33680	1310
CG33687	985
CG33688	707
CG33689	698
CG33690	705
CG33695	1962
CG33700	11426
CG33702	613
CG33703	653
CG33704	993
CG33710	837
CG33713	1361
CG33721	733
CG33722	4000
CG33723	730
CG33725	3838
CG33752	613
CG33757	652
CG33758	647
CG3376	7201
CG33764	715
CG33766	610
CG33767	653
CG33768	562
CG33769	593
CG33770	616
CG33771	593
CG33772	671
CG33773	779
CG33774	577
CG33775	678
CG33777	700
CG33783	798
CG33784	668
CG33785	1320
CG33786	1320
CG33791	14402
CG33792	781
CG33795	652
CG33796	652
CG33798	726
CG3386	2035
CG33912	710
CG33914	2283
CG33919	746
CG33920	715
CG33922	729
CG33923	731
CG33926	3157
CG33927	658
CG33928	710
CG33932	1468
CG33934	5960
CG33939	3824
CG3394	4015
CG33941	3980
CG33946	372
CG33947	2061
CG33958	8470
CG33964	2868
CG33965	1134
CG33966	1291
CG33969	1869
CG3397	1444
CG33970	44234
CG33977	493
CG33978	18065
CG33981	7967
CG33985	922
CG33986	929
CG33993	17623
CG33995	5096
CG33998	652
CG34001	3534
CG34002	2009
CG34005	802
CG34007	729
CG34008	840
CG34011	1367
CG34012	686
CG34015	735
CG3402	1340
CG34021	829
CG34025	1328
CG34026	808
CG34027	5363
CG34028	639
CG34029	519
CG34030	1772
CG34031	11305
CG34033	624
CG34034	766
CG34038	2197
CG34039	2614
CG34040	1051
CG34041	2124
CG34043	1922
CG34045	4300
CG34049	1091
CG34051	962
CG34054	629
CG34056	1414
CG34057	1393
CG3407	2610
CG3408	2766
CG34105	574
CG34106	42095
CG34107	679
CG34109	31649
CG34112	2549
CG34115	1447
CG34116	796
CG34117	484
CG34120	17318
CG34124	7020
CG34125	727
CG34126	11089
CG34129	972
CG34130	974
CG34132	607
CG34133	5795
CG34134	485
CG34135	18986
CG34136	2011
CG34138	931
CG34140	1903
CG34141	3694
CG34148	817
CG34149	1126
CG34150	669
CG34155	5646
CG34159	1798
CG34160	572
CG34161	746
CG34162	1937
CG34163	532
CG34164	1904
CG34165	777
CG34166	687
CG34167	661
CG34168	559
CG34169	625
CG34170	353
CG34171	1319
CG34172	5388
CG34173	469
CG34174	902
CG34175	662
CG34176	401
CG34177	1150
CG34178	1150
CG34179	2056
CG34180	429
CG34181	795
CG34183	712
CG34184	1003
CG34185	567
CG34188	933
CG34189	482
CG34190	1100
CG34193	2400
CG34194	856
CG34195	1246
CG34196	510
CG34198	532
CG34199	751
CG3420	914
CG34200	406
CG34201	1222
CG34202	1154
CG34203	594
CG34204	547
CG34205	1188
CG34206	857
CG34207	526
CG34208	380
CG34210	627
CG34211	198
CG34212	413
CG34213	622
CG34214	596
CG34215	498
CG34216	1590
CG34217	738
CG34219	1170
CG34220	2443
CG34221	2576
CG34222	657
CG34223	345
CG34224	473
CG34225	590
CG34227	485
CG34228	483
CG34229	557
CG34230	706
CG34231	1646
CG34232	904
CG34234	660
CG34235	2429
CG34236	1161
CG34238	941
CG34241	483
CG34242	408
CG34244	889
CG34245	683
CG34247	421
CG34248	534
CG34250	882
CG34251	11960
CG34253	647
CG34254	371
CG34256	1080
CG34258	734
CG34259	1336
CG34260	1059
CG34261	908
CG34263	314
CG34265	534
CG34266	402
CG34267	438
CG34268	436
CG34269	660
CG34273	446
CG34274	949
CG34276	1949
CG34277	2205
CG34278	344
CG34279	927
CG34280	447
CG34281	518
CG34282	744
CG34283	624
CG34284	596
CG34286	742
CG34287	951
CG34288	501
CG34289	569
CG34290	1266
CG34291	492
CG34292	844
CG34293	868
CG34295	867
CG34296	476
CG34297	940
CG34298	609
CG34299	1079
CG3430	2097
CG34300	833
CG34301	376
CG34302	825
CG34303	545
CG34305	362
CG34307	838
CG34308	840
CG34309	697
CG34310	11117
CG34312	2429
CG34313	6803
CG34315	3820
CG34316	1102
CG34317	1273
CG34323	827
CG34324	1130
CG34325	6963
CG34327	848
CG34328	497
CG34330	699
CG34331	2819
CG34332	467
CG34334	2556
CG34337	441
CG34338	425
CG3434	1431
CG34342	7333
CG34345	2248
CG34347	60592
CG34348	4862
CG34351	27745
CG34353	137878
CG34354	93647
CG34355	55309
CG34357	66125
CG3436	1638
CG34367	6055
CG3437	1328
CG34370	52492
CG34375	10424
CG34376	12651
CG34377	15432
CG34382	5509
CG34383	49461
CG34384	41032
CG34386	31214
CG34393	25385
CG34396	9232
CG34398	34809
CG34401	20126
CG34402	16654
CG34404	3880
CG34408	9979
CG34409	3491
CG34417	48403
CG34423	593
CG34424	1052
CG34425	1754
CG34426	1137
CG34427	1049
CG34428	809
CG34429	884
CG34430	1034
CG34431	2551
CG34432	723
CG34433	898
CG34434	1817
CG34435	1143
CG34436	969
CG34437	1007
CG34442	1077
CG34443	1089
CG34444	1110
CG34445	587
CG34446	350
CG34447	1592
CG34448	1174
CG34449	31720
CG34450	1472
CG34451	3531
CG34452	1551
CG34453	872
CG34454	670
CG34456	627
CG34457	1511
CG34458	857
CG34459	1985
CG34460	884
CG34461	2449
CG34462	1655
CG3448	1028
CG3457	1100
CG3473	712
CG3483	1340
CG3491	5976
CG3492	1515
CG3494	963
CG3500	1194
CG3502	4237
CG3505	1782
CG3511	2877
CG3513	484
CG3515	1681
CG3517	1421
CG3520	5540
CG3526	3465
CG3527	1034
CG3528	936
CG3529	3922
CG3530	7672
CG3534	3004
CG3542	3214
CG3544	4441
CG3546	2246
CG3548	2421
CG3552	3053
CG3556	5234
CG3557	1032
CG3558	5857
CG3565	1017
CG3566	1753
CG3568	1868
CG3581	1033
CG3587	1230
CG3588	4657
CG3589	1988
CG3592	840
CG3594	863
CG3597	1373
CG3598	1047
CG3603	1087
CG3604	631
CG3609	2173
CG3610	1695
CG3611	1979
CG3618	2723
CG3625	8411
CG3626	4720
CG3630	10086
CG3631	3175
CG3632	6638
CG3634	2405
CG3635	8577
CG3638	21396
CG3640	1069
CG3645	19156
CG3649	1935
CG3650	1207
CG3651	5277
CG3652	1107
CG3655	61856
CG3662	3049
CG3663	907
CG3669	2451
CG3678	1545
CG3679	3508
CG3687	765
CG3689	2798
CG3690	3316
CG3698	1135
CG3699	839
CG3700	1311
CG3702	2448
CG3703	3300
CG3704	1636
CG3706	1545
CG3708	1301
CG3709	1767
CG3711	4694
CG3713	987
CG3714	8732
CG3719	1596
CG3726	24756
CG3732	1395
CG3734	2006
CG3735	2678
CG3739	1829
CG3740	892
CG3744	5453
CG3746	756
CG3748	1946
CG3756	1213
CG3760	1589
CG3764	17849
CG3769	1444
CG3770	1498
CG3773	1370
CG3775	2572
CG3776	1178
CG3777	70802
CG3781	951
CG3788	2043
CG3792	1256
CG3793	2048
CG3795	1377
CG3797	3417
CG3803	1536
CG3808	2734
CG3809	1533
CG3812	7586
CG3815	3582
CG3817	879
CG3819	1679
CG3823	2771
CG3829	4446
CG3831	2183
CG3838	4683
CG3841	2308
CG3842	5970
CG3847	2134
CG3857	2341
CG3860	2918
CG3862	1533
CG3868	1957
CG3880	1942
CG3894	3584
CG3902	5174
CG3906	940
CG3907	2401
CG3909	1337
CG3916	1013
CG3918	1879
CG3919	2107
CG3927	1672
CG3939	1206
CG3940	7845
CG3942	2406
CG3955	1138
CG3961	12234
CG3967	13163
CG3982	1634
CG3984	1860
CG3987	1758
CG3995	1241
CG3999	3751
CG4000	1128
CG40006	133933
CG4004	5574
CG40045	7345
CG4009	2458
CG40160	13619
CG4017	1670
CG40178	215672
CG40191	3608
CG40198	1626
CG4020	2256
CG4021	1582
CG4022	4654
CG40228	1816
CG4025	1490
CG40298	1161
CG4036	1077
CG4038	1348
CG4041	3168
CG4042	1365
CG40439	758
CG4045	1106
CG40470	146551
CG40472	581
CG40485	1752
CG40486	1236
CG4049	7206
CG40498	26617
CG4053	988
CG40635	318
CG4066	1767
CG4069	1890
CG4073	1104
CG4074	1276
CG4078	4331
CG4080	12401
CG40813	715
CG4096	10077
CG4098	1210
CG4101	465
CG41099	21673
CG41106	1019
CG41128	1991
CG4115	3248
CG4116	948
CG4119	4601
CG41242	546
CG41284	7118
CG4133	3215
CG41378	76329
CG41434	1913
CG4151	1307
CG41520	129877
CG41561	2142
CG41562	715
CG4161	1996
CG4168	38578
CG4174	17794
CG4186	553
CG4194	1097
CG4198	1933
CG4199	7049
CG4210	872
CG4213	5604
CG4218	1612
CG42231	10199
CG42232	11384
CG42233	5645
CG42235	14025
CG42237	7936
CG42238	86645
CG42239	502
CG42240	2187
CG42245	10270
CG42246	640
CG42249	11876
CG42255	12805
CG42258	14904
CG42259	786
CG42260	57291
CG42263	1253
CG42264	3625
CG42266	2380
CG42268	26384
CG42269	5250
CG42271	6007
CG42272	2717
CG42284	7474
CG42287	648
CG42288	784
CG4229	1136
CG42296	3523
CG42299	737
CG4230	3068
CG42300	793
CG42302	759
CG42304	3368
CG42305	1294
CG42306	3131
CG42307	4340
CG42308	781
CG42319	6236
CG42321	24074
CG42322	16532
CG42323	4589
CG42324	38449
CG42326	11412
CG42327	17826
CG42329	10510
CG42331	12382
CG42335	10538
CG42336	2985
CG42337	10051
CG42339	72180
CG42340	101201
CG42342	68594
CG42346	53143
CG42353	11888
CG42354	11888
CG42355	854
CG42356	1322
CG42357	1405
CG42359	1042
CG42360	3581
CG42361	1116
CG42362	1983
CG42363	1983
CG42364	640
CG42365	908
CG42366	5218
CG42367	552
CG42369	1397
CG42370	2078
CG42371	744
CG42372	817
CG42374	3073
CG42375	1172
CG42376	649
CG42379	2376
CG4238	20930
CG42380	2376
CG42381	2376
CG42382	943
CG42383	1177
CG42389	118203
CG4239	3425
CG42390	13307
CG42391	795
CG42392	640
CG42393	1482
CG42394	1964
CG42395	1122
CG42397	706
CG42399	9070
CG42402	26388
CG42404	7672
CG42445	4220
CG42446	1965
CG42449	1217
CG42450	17110
CG42455	1712
CG42456	2935
CG42458	30891
CG42460	615
CG42464	363
CG42465	464
CG42467	410
CG42470	583
CG42471	383
CG42481	227
CG42486	927
CG42487	1890
CG42488	2384
CG42489	965
CG42493	710
CG42494	2146
CG42495	775
CG42496	1470
CG42497	925
CG42498	877
CG4250	783
CG42500	440
CG42502	2559
CG42504	3688
CG42505	3688
CG42507	10034
CG42511	3473
CG42512	1900
CG42514	4399
CG42516	1970
CG42518	1154
CG42521	511
CG42523	1057
CG42524	43361
CG42525	1723
CG42526	1714
CG42529	1409
CG42531	781
CG42534	31953
CG42535	902
CG42536	987
CG42537	437
CG42538	330
CG42540	36209
CG42541	39082
CG42542	6477
CG42544	363
CG42553	1423
CG42554	1088
CG42556	1332
CG42557	1301
CG42558	1301
CG42559	1262
CG42560	1262
CG42561	694
CG42562	597
CG42564	2874
CG42565	3489
CG42566	1308
CG42568	1645
CG42570	2255
CG42571	1297
CG42577	418
CG42578	333
CG42579	413
CG42580	412
CG42581	313
CG42583	378
CG42585	1225
CG42586	680
CG42587	366
CG42588	10397
CG4259	1929
CG42590	855
CG42591	508
CG42592	679
CG42594	65743
CG42597	740
CG42598	17217
CG42613	48893
CG42615	421
CG42633	1303
CG42634	1028
CG42635	1028
CG42637	74043
CG42638	3911
CG42649	219
CG42650	868
CG42654	733
CG42655	742
CG42656	311
CG42658	909
CG42659	483
CG4266	6947
CG42660	3300
CG42661	3300
CG42662	2971
CG42663	46374
CG42668	14853
CG4267	2897
CG42671	16241
CG42672	14760
CG42673	49494
CG42674	48704
CG42675	5212
CG42676	3814
CG42680	315
CG42681	397
CG42682	751
CG42684	41864
CG42685	5561
CG42688	846
CG4269	3451
CG42690	1615
CG42691	1084
CG42692	720
CG42693	471
CG42694	3271
CG42697	1086
CG42699	25024
CG4270	800
CG42700	21025
CG42703	546
CG42704	629
CG42705	794
CG42709	5893
CG4271	764
CG42710	702
CG42711	1041
CG42713	741
CG42714	566
CG42716	393
CG42717	429
CG42718	443
CG42724	6617
CG42726	2344
CG42727	2344
CG42728	577
CG42729	607
CG42733	630
CG42740	4205
CG42741	31866
CG42747	85375
CG42748	35001
CG42749	10223
CG42750	115960
CG42751	496
CG42752	791
CG42753	663
CG42758	694
CG42759	414
CG42762	647
CG42763	717
CG42764	1328
CG42766	793
CG42778	760
CG42779	511
CG4278	1063
CG42780	927
CG42781	258
CG42782	599
CG42784	84997
CG42787	386
CG42788	35970
CG42789	600
CG42792	533
CG42795	25588
CG42797	14298
CG42798	857
CG42806	803
CG42807	2165
CG42808	640
CG42809	577
CG4281	2830
CG42810	503
CG42811	694
CG42812	805
CG42813	1492
CG42814	796
CG42815	408
CG42816	5507
CG42817	10053
CG42818	3621
CG42819	604
CG4282	2616
CG42820	2518
CG42821	563
CG42822	707
CG42823	623
CG42824	464
CG42825	2362
CG42826	1525
CG42827	677
CG42828	543
CG42830	720
CG42831	1266
CG42832	252
CG42833	395
CG42834	536
CG42835	352
CG42837	2337
CG42841	2543
CG42846	634
CG42847	871
CG42851	783
CG42852	232
CG42853	1058
CG42854	1664
CG42855	1270
CG42857	678
CG4286	883
CG42866	462
CG42867	500
CG42869	337
CG4287	1701
CG42870	432
CG42876	1571
CG42878	392
CG4291	1480
CG4293	2351
CG4294	5263
CG4297	13325
CG4301	9143
CG4302	2093
CG43049	1019
CG43050	1474
CG43052	543
CG43054	531
CG43055	670
CG43056	415
CG43057	681
CG43058	455
CG43059	425
CG4306	1207
CG43060	14747
CG43061	387
CG43062	584
CG43063	538
CG43064	2001
CG43066	11866
CG43068	795
CG43069	416
CG43070	663
CG43071	598
CG43072	387
CG43074	822
CG43075	906
CG43076	926
CG43077	1220
CG43078	22810
CG43082	413
CG43083	555
CG43084	541
CG43085	1252
CG43088	1297
CG43089	691
CG43090	676
CG43091	613
CG43092	785
CG43093	533
CG43094	375
CG43095	615
CG43098	657
CG43101	476
CG43102	26219
CG43103	482
CG43106	1001
CG43107	371
CG43108	731
CG43109	320
CG43110	8656
CG43111	602
CG43112	340
CG43114	335
CG43115	688
CG43116	1118
CG43117	319
CG43120	1387
CG43121	503
CG43123	1114
CG43124	903
CG43125	888
CG43127	872
CG4313	13547
CG43131	501
CG43133	594
CG43134	473
CG43135	281
CG43136	704
CG43137	602
CG43138	493
CG43139	660
CG43143	44162
CG43145	423
CG43147	312
CG43149	879
CG43153	1012
CG43155	16719
CG43156	417
CG43163	34340
CG43165	590
CG43167	583
CG43168	1249
CG43169	489
CG43171	659
CG43172	629
CG43175	14546
CG43178	659
CG43179	823
CG4318	1464
CG43181	568
CG43182	251
CG43183	775
CG43184	325
CG43185	604
CG43187	5250
CG43188	2715
CG43189	601
CG43190	722
CG43191	1245
CG43192	738
CG43195	1615
CG43198	643
CG43200	629
CG43201	659
CG43202	452
CG43203	834
CG43204	702
CG43206	551
CG43207	571
CG43208	431
CG43209	476
CG43210	910
CG43218	739
CG43219	2719
CG43220	238
CG43221	609
CG43222	541
CG43229	459
CG43230	939
CG43231	1462
CG43232	834
CG43233	593
CG43235	792
CG43236	398
CG43237	536
CG4324	2282
CG43244	703
CG43245	1475
CG43246	639
CG43248	1389
CG43249	381
CG4325	1089
CG43251	310
CG43254	599
CG43255	490
CG43267	407
CG43271	659
CG43272	497
CG43273	673
CG43277	483
CG4328	5168
CG43288	397
CG4329	4043
CG43290	704
CG43291	9694
CG43292	678
CG43293	665
CG43294	619
CG43295	577
CG43296	531
CG43307	352
CG43308	539
CG43312	818
CG43313	16892
CG43315	655
CG43316	728
CG43317	964
CG43318	725
CG43319	224
CG4332	2335
CG43321	542
CG43322	1342
CG43324	746
CG43325	1587
CG43326	1450
CG43327	1526
CG43328	1526
CG43329	732
CG43330	555
CG43331	853
CG43332	2079
CG43333	17179
CG43335	1022
CG43336	1014
CG43337	1622
CG43338	4355
CG43339	1682
CG43340	28546
CG43341	1040
CG43342	808
CG43345	2536
CG43346	2536
CG43347	17550
CG43348	513
CG43349	459
CG4335	1257
CG43350	418
CG43351	242
CG43354	260
CG43355	2243
CG43362	210
CG43366	37469
CG43367	30011
CG43371	565
CG43373	51533
CG43376	359
CG4338	953
CG43386	10791
CG43389	1030
CG43390	208
CG43391	191
CG43392	318
CG43393	1269
CG43394	13029
CG43396	628
CG43397	1108
CG43400	622
CG43401	686
CG43402	1206
CG43403	596
CG43407	488
CG4341	35306
CG43427	52615
CG43438	700
CG43439	1114
CG43441	570
CG43445	670
CG43446	1433
CG43447	534
CG43448	641
CG43449	937
CG43450	281
CG4360	3730
CG43618	290
CG4362	1322
CG4363	818
CG43630	251
CG43638	778
CG4364	2351
CG43645	609
CG43646	631
CG43647	614
CG43658	105012
CG43659	336
CG43666	1023
CG43667	907
CG43668	731
CG4367	1000
CG43672	5533
CG43673	1069
CG43675	3695
CG43677	903
CG43678	317
CG43679	570
CG43680	354
CG43689	16495
CG43691	3867
CG43693	15014
CG43694	428
CG43702	389
CG43703	370
CG43707	12270
CG43709	615
CG43710	1023
CG43711	1239
CG4372	1194
CG43725	450
CG43729	70789
CG43731	866
CG43732	26362
CG43736	17693
CG43737	14491
CG43739	47597
CG4374	63595
CG43740	14143
CG43742	1862
CG4375	793
CG43750	1112
CG43755	4240
CG43759	98295
CG43760	411
CG4377	910
CG43773	295
CG43774	438
CG43775	3464
CG43776	3464
CG43777	3464
CG43778	29308
CG43779	836
CG43780	1683
CG43781	1683
CG43783	22038
CG43784	795
CG43788	415
CG43789	300
CG43795	47861
CG43796	632
CG43797	789
CG43798	870
CG43799	908
CG43800	649
CG43813	624
CG43814	857
CG43815	414
CG43816	1137
CG4382	1993
CG43829	510
CG43841	410
CG43843	1281
CG43844	633
CG43845	822
CG43850	5215
CG43851	476
CG4386	1575
CG43861	48599
CG43867	119759
CG43880	610
CG43885	523
CG43886	414
CG43894	2393
CG43895	694
CG43896	7654
CG43897	20499
CG4390	3333
CG43901	17670
CG43902	36904
CG43915	886
CG43919	545
CG43920	409
CG43922	375
CG43923	521
CG43924	521
CG43925	466
CG4393	8850
CG43931	945
CG43935	372
CG43938	1763
CG43954	35272
CG43965	255
CG43968	3175
CG43980	21349
CG43982	701
CG43993	443
CG43996	1067
CG43997	544
CG43998	1273
CG43999	1273
CG44000	5096
