Gene	Length		a1	a2	a3	a4	a5	a6	a7	ab8	b1	b2	b3	b4	b6
CR44581	1206		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nos	33237		NA	NA	NA	NA	0000000995	NA	NA	NA	NA	NA	NA	NA	NA
CG6508	1378		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG17134	1262		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6700	4865		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mir-4987	131		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Porin2	1256		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
porin	3621		NA	NA	NA	NA	NA	NA	NA	NA	NA	0000000996	NA	0000000996	NA
SmydA-3	4463		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dnz1	2209		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aurB	1297		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stam	3470		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43807	2503		0000000054	0000000054	0000000054	0000000054	0000000054	0000000054	0000000054	0000000054	0000000054	0000000054	0000000054	0000000054	0000000054
CG12517	555		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45453	266		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45454	370		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44490	745		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14071	1282		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44491	700		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14070	1284		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45724	228		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG7309	2623		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14069	597		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dpr2	47138		0000004584;0000000056	0000000056;0000001002	0000004588;0000000056	0000004585;0000000056	0000004586;0000000056	0000004587;0000001000;0000000056	0000004589;0000000056	0000004583;0000004592;0000000056	0000004591;0000000056	0000000056;0000001001	0000000056	0000000056	0000004590;0000000056
CG14072	1269		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44492	591		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44493	350		NA	NA	NA	NA	NA	NA	NA	NA	0000004591	NA	NA	NA	NA
CG33129	5370		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YL-1	1650		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG16743	1128		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abo	1850		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATPsynG	877		NA	0000011302	0000011301	0000011301	0000011301	NA	0000011301	0000011301	0000011301	NA	0000011301	0000011301	0000011301
SCAR	5623		NA	NA	NA	NA	NA	0000004595	NA	NA	NA	NA	NA	NA	NA
piwi	5215		NA	NA	NA	0000004596	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG12253	1435		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG16833	8496		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aub	3657		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lectin-33A	666		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RpL9	1431		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nup154	6101		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Art8	1265		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45778	973		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dUTPase	823		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Samuel	53792		0000004597;0000004604	0000011303;0000001003	0000004602	0000004597	0000011303	0000011303	0000011304;0000001004;0000004600;0000004601	0000011303;0000004601	0000011303	0000011303;0000004598;0000004603	0000004597;0000004599	0000011303	NA
Acp32CD	951		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14913	1783		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG18666	513		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR46264	681		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14915	505		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45725	427		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43725	449		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AstC	5234		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AstCC	1770		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG16854	4252		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4705	3652		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ge-1	5738		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Reps	5682		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
l(2)gd1	3908		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6201	2504		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gr32a	1809		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6230	4684		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14921	1072		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Csl4	993		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nup160	5558		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RfC38	1713		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4751	5266		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hgo	2172		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000017902	NA	NA
Gyc32E	10342		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31867	838		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6287	4215		NA	NA	NA	NA	NA	0000004608	NA	NA	NA	NA	NA	NA	NA
Ca-beta	47426		0000001006	NA	0000001006	0000001006	0000001006	0000001006	0000001006	0000001005	0000001006	0000001006	0000001006	0000001005	0000001006
Vm32E	498		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4788	1398		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43859	564		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ab	50402		0000000057	0000000057	0000000057	0000000057	0000000057	0000000057	0000000057	0000000057	0000000057	0000000057	0000000057;0000004609	0000000057	0000000057
snoRNA:Me18S-G642	77		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cmet	7976		NA	NA	NA	NA	NA	00112630102L	NA	NA	NA	NA	NA	NA	NA
cana	8066		NA	NA	NA	NA	NA	NA	00112707952L	NA	NA	NA	NA	NA	NA
CG33695	1961		NA	NA	NA	NA	NA	NA	00112707952L	NA	NA	NA	NA	NA	NA
CR44182	520		NA	NA	NA	NA	NA	NA	00112707952L	NA	NA	NA	NA	NA	NA
Ppt2	1622		NA	NA	NA	NA	NA	NA	00112707952L	NA	NA	NA	NA	NA	NA
mre11	2245		NA	NA	NA	NA	NA	NA	00112707952L	NA	NA	NA	NA	NA	NA
Osi21	1379		NA	NA	NA	NA	NA	NA	00112707952L	NA	NA	NA	NA	NA	NA
CR43409	445		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43721	285		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44583	315		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44584	847		NA	NA	0000004616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44585	369		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14926	1017		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44586	328		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
salr	14763		NA	NA	NA	NA	NA	NA	NA	0000004617	NA	NA	NA	NA	NA
CR43681	4450		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000001009	NA	NA
salm	11303		NA	NA	NA	NA	NA	NA	NA	0000004623	NA	NA	0000001010	NA	NA
CG6488	2144		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spz4	6934		NA	NA	NA	NA	NA	NA	0000001015	NA	NA	NA	NA	NA	NA
Dlg5	8682		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4970	2392		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14929	1612		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14930	927		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43153	1011		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31705	5184		NA	NA	NA	NA	NA	NA	NA	0000004628	NA	NA	NA	NA	NA
CG31706	2014		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG34162	1936		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR42743	2581		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43438	699		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000004630	NA
CR44494	1395		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44495	765		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kek2	44946		0000000061	0000004637;0000000061	0000011307;0000000061	0000011307;0000000061	0000011307;0000000061	0000011308;0000000061	0000011307;0000000061	0000000061	0000000061	0000000061	0000011307;0000000061	0000000061	0000000061
Mst33A	1400		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44496	605		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acp33A	339		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spag4	1262		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6614	4220		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG12307	679		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4983	1716		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43167	582		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44497	645		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44479	482		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44480	402		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG44477	613		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000001018	NA	NA
CR44481	569		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4988	1303		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44143	812		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44145	1139		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vha100-5	5576		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44144	676		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG42470	582		NA	0000001021	0000001021	NA	NA	0000001021	NA	NA	NA	NA	NA	NA	NA
CG42471	382		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sfp33A1	417		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14931	1141		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14932	1092		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tsp33B	1340		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14937	1674		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
crol	15111		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:Me18S-A934	90		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CycY	3688		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pde1c	114416		0000000063	0000004665;0000000063;0000004666	0000004659;0000004663	0000001025;0000000063	0000004663;0000001026;0000000063	NA	0000001022;0000001024;0000004663	0000000063	0000004659;0000004662;0000001027;0000000063	0000004658;0000004659;0000000063;0000001028	0000001023;0000004661;0000000063	0000004659;0000004660	0000004662;0000004664;0000001027
esc	2201		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000001023	NA	NA
CG45011	411		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG45012	266		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45013	583		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45014	368		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sfp33A4	243		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sfp33A2	336		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43937	362		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sfp33A3	417		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43936	458		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31704	513		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG44008	943		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mal-B1	1943		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mal-B2	2923		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG42751	495		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Or33a	1211		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Or33b	1320		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Or33c	1233		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crys	3002		NA	NA	NA	NA	0000004669	NA	NA	NA	NA	NA	NA	NA	NA
CG16964	862		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43314	18894		NA	NA	NA	NA	0000001032	NA	NA	NA	NA	NA	NA	NA	NA
bft	93		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG16965	2789		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6686	3712		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG34163	531		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
zuc	1147		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dgt2	1043		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
escl	1921		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ada1-2	1152		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG18789	1443		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qtzl	983		NA	NA	NA	0000011309;0000001033;0000017905	NA	NA	NA	NA	NA	NA	NA	NA	0000011310
Ada1-1	1156		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000011310
CG18787	1440		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000011310
CG12264	1590		NA	NA	NA	0000004672	0000004672;0000017907	0000017906	NA	NA	NA	0000017906	NA	NA	0000011310
CG6746	1032		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000011310
Rh5	1679		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44588	371		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6734	6656		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44587	1146		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dmGlut	6684		NA	NA	NA	NA	NA	NA	NA	0000004674	NA	NA	NA	NA	NA
CG18788	1941		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tom70	2527		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6766	2058		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR46070	733		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6785	4146		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6770	775		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44589	237		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plzf	2207		NA	0000004675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14945	2631		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JhI-21	4287		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rab3-GAP	4880		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14946	3318		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14947	1639		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44591	964		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44590	1269		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
prd	2832		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44592	764		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44593	1404		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pex19	3428		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44594	349		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6712	1335		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mt2	1162		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ced-12	3001		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Patsas	2520		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aats-thr	3419		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rab6	1895		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Phae1	1247		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Phae2	1146		NA	NA	NA	NA	NA	NA	0000001037	NA	NA	NA	NA	NA	NA
CG17211	15536		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rho-6	2895		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gr33a	2384		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31760	27728		0000001038;0000004681	NA	NA	0000004678;0000004680;0000004683;0000017910	0000004679	0000004677;0000004685	0000004682	0000001039	0000004676	NA	NA	0000004684	NA
CG31861	838		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZnT33D	2463		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG17217	682		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6583	1382		0000011314	0000011313	0000011313	0000011313	NA	0000011311	NA	NA	0000001040;0000011312	NA	NA	NA	NA
crok	1110		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43356	548		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aret	138434		0000001043;0000001046;0000004691;0000011315	0000004686;0000001046	0000004696;0000004699;0000011315	0000001041;0000001046	0000001045;0000001047;0000011315	0000004693;0000004697;0000011315	0000004688;0000001046;0000004692;0000004695;0000011315	0000001041;0000004687;0000001045;0000004690;0000004694;0000011315	0000001042;0000001046;0000001048;0000004704;0000011315	0000004703;0000004705;0000011315	0000001043;0000001044;0000001046;0000004700;0000011315	0000001046;0000001047;0000001049;0000011315	0000001043;0000001046;0000004689;0000004698;0000004701;0000004702;0000011315
atilla	2435		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31759	2401		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45282	345		0000001050	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000004706
CR45283	1041		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31862	629		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43813	623		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bru-2	53309		0000004714	0000004715	NA	NA	NA	NA	0000004713	0000004718	0000004712;0000004719	NA	0000004716	0000004717	NA
CG17010	1465		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pkd2	3749		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vir-1	20169		0000004721	NA	NA	NA	NA	NA	NA	0000004720	NA	NA	NA	NA	NA
CG6405	1536		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5446	1078		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6388	1993		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5435	1065		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SC35	3590		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:SC35-a	152		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:SC35-b	155		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Elf	6827		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oatp33Ea	4523		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5421	2052		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000004722	NA
Oatp33Eb	3563		NA	NA	NA	NA	NA	NA	NA	0000004723	NA	NA	NA	NA	NA
CG5418	1297		NA	0000004724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR17024	1287		NA	NA	NA	NA	NA	0000004725	NA	NA	NA	NA	NA	NA	NA
bun	91071		0000011322	0000004732;0000011322	0000004731;0000011322;0000004736	0000004733;0000011321	0000004728;0000011322	0000004734	0000004735	0000001052;0000004726;0000004727;0000001053;0000011322;0000017911	0000011322;0000011323	0000004729;0000004730;0000011322	0000011322	0000001053;0000011320	0000011322;0000011323
mir-967	96		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
t-cup	717		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43051	565		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:CG43051-a	146		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR42746	1167		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44598	485		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44597	446		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44596	1413		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44595	1148		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nub	40510		NA	NA	NA	NA	NA	0000004738	NA	NA	NA	NA	NA	NA	0000004737
Ref2	35839		NA	NA	NA	NA	NA	0000004738	NA	NA	NA	NA	NA	NA	NA
pdm2	29141		NA	NA	NA	NA	0000004739	NA	NA	NA	NA	NA	0000001054	NA	NA
CG15485	2466		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5525	2598		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6153	946		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5780	1116		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PICK1	3884		NA	NA	NA	NA	NA	00126967732L	NA	NA	NA	NA	NA	NA	NA
CG5781	897		NA	NA	NA	NA	NA	00126967732L	NA	NA	NA	NA	NA	NA	NA
CG17036	1828		NA	NA	NA	NA	NA	00126967732L	NA	NA	NA	NA	NA	NA	NA
CG5776	3502		NA	NA	NA	NA	NA	00126967732L	NA	NA	NA	NA	NA	NA	NA
spict	1958		NA	NA	NA	NA	NA	0000017912	NA	NA	NA	NA	NA	NA	NA
CG15484	912		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG6180	1019		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5787	4160		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pih1D1	8567		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRP	47501		0000000066;0000000067;0000000068;0000000069	0000000066;0000000067;0000000068;0000004742;0000000069	0000000066;0000000067;0000000068;0000000069	0000004740;0000000066;0000000067;0000000068;0000004744;0000000069	0000000066;0000000067;0000001056;0000000068;0000004743;0000000069	0000000066;0000000067;0000000068;0000004741;0000000069	0000000066;0000000067;0000001057;0000000068	0000000066;0000000067;0000000068;0000000069	0000000066;0000000067;0000000068;0000000069	0000000066;0000000067;0000000068;0000000069	0000001055;0000000066;0000000067;0000000068;0000000069	0000000066;0000000067;0000000068;0000000069	0000000066;0000000067;0000000068;0000000069
CG15483	1494		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR46206	1048		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43818	697		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kek1	5787		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000004753	NA	NA
CR44970	428		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
